Date & Time,First posts,Inactivity,Posts in last 24H,Questions,Sentences/Post,Sentiment,Subjectivity,Words/Sentence
2005-12-02 16:00:00,0.0,10980,0,0.0,9.0,-0.0268518518519,0.346296296296,18.2222222222
2005-12-06 20:00:00,0.5,99,0,0.263157894737,9.5,0.125233918129,0.383976608187,13.0
2005-12-15 16:00:00,0.0,211,0,0.0,12.0,0.250671296296,0.429976851852,13.3333333333
2005-12-16 16:00:00,0.0,23,1,0.0769230769231,13.0,0.0464743589744,0.298076923077,16.0769230769
2006-01-04 20:00:00,0.0,459,0,0.285714285714,7.0,-0.0442857142857,0.321428571429,10.1428571429
2006-01-04 21:00:00,0.0,0,1,0.0,13.0,0.135384615385,0.526730769231,17.3076923077
2006-01-05 10:00:00,0.0,12,2,0.0,15.0,0.0155555555556,0.0688888888889,5.46666666667
2006-01-05 16:00:00,0.0,5,3,0.166666666667,6.0,0.208680555556,0.388888888889,16.6666666667
2006-01-11 16:00:00,0.0,143,0,0.0,5.0,0.118222222222,0.702777777778,19.8
2006-01-16 10:00:00,0.0,113,0,0.0,12.0,0.141666666667,0.434027777778,14.3333333333
2006-02-13 21:00:00,0.0,682,0,0.0454545454545,22.0,-0.0439772727273,0.571704545455,16.6363636364
2006-02-16 13:00:00,0.0,63,0,0.0,16.0,0.174288194444,0.591909722222,20.9375
2006-02-16 14:00:00,0.0,0,1,0.2,5.0,-0.01,0.08,13.0
2006-02-17 08:00:00,0.0,17,2,0.0,8.0,0.0997222222222,0.433444444444,23.25
2006-02-26 18:00:00,0.0,225,0,0.176470588235,8.5,0.0974632352941,0.266102941176,14.4117647059
2006-03-02 11:00:00,0.0,88,0,0.0,6.0,-0.0208333333333,0.331944444444,14.0
2006-03-13 09:00:00,0.0,261,0,0.0,11.0,-0.0218181818182,0.349090909091,11.4545454545
2006-03-21 14:00:00,0.0,196,0,0.0,3.0,0.0,0.0,13.3333333333
2006-03-30 11:00:00,0.0,212,0,0.0,4.0,0.0229166666667,0.233333333333,15.75
2006-05-02 17:00:00,0.0,797,0,0.0,7.0,0.197738095238,0.440476190476,14.0
2006-05-09 22:00:00,0.0,172,0,0.0833333333333,6.0,0.169444444444,0.431944444444,13.6666666667
2006-05-19 18:00:00,0.0,235,0,0.0,13.0,0.0941025641026,0.45,18.6153846154
2006-06-11 17:00:00,0.0,550,0,0.0,8.0,0.128211805556,0.365590277778,16.625
2006-06-29 22:00:00,0.0,436,0,0.0,8.5,-0.0144607843137,0.250490196078,13.9411764706
2006-07-11 20:00:00,0.0,285,0,0.0,9.0,0.166657407407,0.58262037037,15.6666666667
2007-03-08 16:00:00,0.0,5755,0,0.0,6.0,0.103055555556,0.731944444444,18.6666666667
2007-04-05 20:00:00,0.0,675,0,0.0,12.0,0.122083333333,0.585868055556,24.4166666667
2007-04-06 11:00:00,0.0,14,1,0.0,7.0,0.0464533730159,0.451984126984,21.4285714286
2007-04-06 17:00:00,0.0,5,2,0.0,10.0,0.308027777778,0.613055555556,16.9
